    x    y  z
 -199  245  4
 -137   69  3
 -178  218  4
   94 -142  2
  -71   72  3
 -213  222  4
   90 -133  2
  159 -130  2
 -212  211  4
 -216  215  4
 -136   81  3
 -163 -223  1
  118 -165  2
 -204  248  4
 -175 -219  1
  104  182  0
  -88   96  3
  143 -190  2
   69  191  0
  159 -117  2
 -201  230  4
  117  167  0
 -112   72  3
  -91   98  3
 -121   29  3
 -194  206  4
  162  200  0
  129  201  0
  -72   65  3
  179 -175  2
 -164 -178  1
  -74   86  3
  122 -146  2
 -218 -190  1
 -208  200  4
 -181 -244  1
 -247  180  4
 -198 -247  1
 -198 -180  1
 -118   83  3
  102  208  0
  -81   48  3
  134 -173  2
 -196 -207  1
  -89  102  3
 -103   94  3
  -76   50  3
 -116   75  3
 -139   80  3
  118  226  0
 -199  220  4
 -180  220  4
 -196 -211  1
 -225 -178  1
 -273  218  4
  184 -119  2
 -235 -177  1
 -125   58  3
 -213  184  4
 -235  175  4
 -161 -179  1
  130 -145  2
 -178 -215  1
  -72   67  3
  185  -87  2
 -134   84  3
 -162 -177  1
 -226 -203  1
 -122   31  3
  143 -120  2
   46  218  0
  146 -149  2
  146 -127  2
 -217 -245  1
 -207  216  4
  -71   88  3
   92  200  0
 -187  177  4
 -108   48  3
 -208  202  4
 -188 -205  1
 -182  176  4
 -213  180  4
 -216 -226  1
  108  195  0
  171 -216  2
 -120   34  3
 -203 -181  1
  108  213  0
 -248  219  4
 -244 -193  1
  103  207  0
  138 -202  2
 -136   21  3
  158 -138  2
 -204 -187  1
 -203 -226  1
 -139   42  3
  160 -128  2
   43  168  0
   91  175  0
  112  190  0
 -185 -237  1
  -82   22  3
 -131   20  3
  184 -131  2
  107  185  0
 -180  207  4
 -186  173  4
  100  204  0
 -169  167  4
  121  215  0
 -173 -187  1
  -80   58  3
 -135  148  3
 -198  194  4
  102  161  0
   96  241  0
  -91   94  3
 -100   57  3
 -217  162  4
 -167 -179  1
 -108   61  3
  -89   68  3
 -168  171  4
 -173 -212  1
 -199 -210  1
  166 -150  2
 -153 -198  1
  110  175  0
  181 -165  2
  154 -153  2
 -205  249  4
 -144   94  3
 -220 -194  1
 -189 -183  1
 -182 -204  1
  122  175  0
   79  222  0
   93  181  0
 -188  201  4
 -176  170  4
 -196 -208  1
 -230  219  4
 -187  186  4
  -94  105  3
 -181 -189  1
 -204  211  4
 -182 -171  1
  200 -169  2
 -202  199  4
  176 -179  2
 -173  209  4
  150 -123  2
  164 -122  2
  134  176  0
 -186 -238  1
 -206 -202  1
   99  162  0
  -84   51  3
  140 -142  2
 -219  180  4
 -181 -249  1
 -221  203  4
 -112  107  3
   71  163  0
 -265   37  3
 -202 -179  1
   26  189  0
 -127   69  3
  106  225  0
 -181  211  4
 -113  110  3
  -86   51  3
  131 -189  2
  183 -162  2
 -221 -218  1
 -108   94  3
  -78   75  3
  121  179  0
 -189  226  4
 -230  201  4
 -123   76  3
 -149  210  4
   81  220  0
  120  206  0
 -204  140  4
  -72   26  3
   77  194  0
  -89   79  3
 -107   67  3
  109  236  0
  129  206  0
 -121   60  3
 -118   49  3
   84  171  0
 -229 -161  1
 -259  195  4
  140  252  0
 -184 -235  1
 -209 -205  1
   81  194  0
 -214  218  4
 -247 -177  1
 -200  216  4
 -109  102  3
   90  171  0
  153 -153  2
   92  140  0
  -86   55  3
 -176  190  4
 -212  204  4
  141 -140  2
 -216  190  4
   94  177  0
  103  171  0
 -237 -197  1
 -199 -180  1
 -196  253  4
 -215  166  4
 -106   79  3
   76  196  0
  -60   88  3
   85  234  0
 -155  242  4
  138 -173  2
 -189  181  4
  136 -119  2
 -209  219  4
  -99   52  3
  149 -143  2
 -218  158  4
  132 -103  2
  -60   48  3
 -212  220  4
  117 -133  2
  137 -143  2
  107  238  0
  196 -136  2
 -189 -189  1
  141 -135  2
 -184  214  4
   98  173  0
  120  198  0
 -165 -173  1
 -209 -206  1
 -195  215  4
 -101   46  3
 -196 -197  1
  -84   61  3
 -182  175  4
 -210  207  4
 -209  189  4
  104  203  0
   68  190  0
 -235  226  4
  137  227  0
  106  226  0
 -217 -168  1
  -84   38  3
 -234 -175  1
  102 -138  2
 -181 -206  1
 -225 -239  1
  -87   48  3
 -177 -175  1
 -166 -235  1
   78  201  0
   58  204  0
 -226 -158  2
  104  163  0
  103  150  0
 -162 -179  1
 -193  202  4
  190 -155  2
  100  207  0
  122 -158  2
 -138   42  3
   98  214  0
  116  218  0
 -132   79  3
  101  133  0
 -181 -167  1
  130 -170  2
   86 -207  0
 -175 -218  1
 -108  100  3
 -124   53  3
 -132   93  3
   93  209  0
 -120 -185  2
 -160 -229  1
 -221  184  4
 -201 -216  1
  147 -141  2
  153 -123  2
  123  183  0
 -191 -200  1
  122 -156  2
 -114   29  3
  109  240  0
  100  234  0
  124 -133  2
  -81   95  3
  131 -174  2
 -205 -183  1
 -168  204  4
 -218  187  4
 -209  178  4
 -140   96  3
 -129   56  3
 -152   64  3
  150  249  0
 -267  197  4
 -179 -220  1
 -186 -218  4
 -180 -186  1
 -214  178  4
 -267  216  4
 -105   79  3
 -220 -194  1
  -89   31  3
  207 -171  2
  109  195  0
  198 -137  2
   75  181  0
 -192 -178  1
   81  201  0
 -245 -187  1
  169 -121  2
 -216 -216  1
 -128   53  3
 -107   97  3
  162 -141  2
   82  201  0
  -32  178  0
  166 -158  2
  -66   46  3
 -186  174  4
  136 -155  2
   99  196  0
  135 -118  2
   94  219  0
   78  213  0
  186 -160  2
  -85   96  3
 -187  246  4
  155 -182  2
  -97 -208  1
 -240 -190  1
   60  219  0
  117  167  0
 -218 -165  1
   81  186  0
 -211  212  4
  104  223  0
  110  191  0
   71  165  0
 -269  212  4
   31  141  0
 -188 -219  1
 -100   48  3
 -198  171  4
 -205 -191  1
  100  213  0
 -106   60  3
 -238 -201  1
 -174 -187  1
 -204 -217  1
 -179  203  4
 -215  198  4
 -204  221  4
  133 -127  2
  117  208  0
 -209  205  4
  181 -160  2
 -221  218  4
  154 -207  2
   97  229  0
  121  217  0
 -207  215  4
  -88   57  3
  183 -155  2
  125  213  0
  103  208  0
 -221 -199  1
 -210  211  4
  127 -136  2
  194 -159  2
 -205 -183  1
 -225  192  4
 -184  273  4
 -222  203  4
  -79   90  3
   71  186  0
  157 -166  2
   77  238  0
 -228  192  4
   83  189  0
   96 -149  2
 -191 -194  1
 -153 -179  1
 -110   63  3
  143 -207  2
 -182  175  4
 -197 -218  1
 -180 -186  1
  132  187  0
   61  183  0
   99  196  0
 -116   67  3
 -116   82  3
   92  184  0
  -81   84  3
 -230  206  4
  -98   55  3
 -181  162  4
  189 -152  2
 -203 -208  1
 -226 -187  1
 -214 -229  1
 -219 -186  1
 -116   56  3
  130  162  0
   79  168  0
  -91   75  3
 -218  211  4
  121  191  0
 -213 -235  1
 -104   59  3
 -123   44  3
 -112   76  3
 -222 -207  1
  168 -183  2
 -146   54  3
  178 -162  2
 -194 -222  1
 -199  258  1
  -75   33  3
  130 -176  2
   85  215  0
 -191  227  4
 -172 -187  1
  152 -134  2
   75  174  0
   99  215  0
 -198 -149  1
 -293  210  4
  135 -159  2
 -205 -218  1
 -102   74  3
  177 -167  2
  136 -141  2
 -182  215  4
 -240  205  4
 -171 -207  1
 -123  100  3
 -194  189  4
 -222 -161  1
  148 -151  2
 -222  202  4
 -204  174  4
 -143  103  3
  -72  111  3
 -197 -193  1
  144 -124  2
   79  199  0
  107  168  0
 -165  201  4
 -115   24  3
   84  172  0
 -173  220  4
 -220 -202  1
  157  221  0
 -221  209  4
 -156  176  4
 -212 -222  1
  109  201  0
  113  183  0
 -236 -234  1
  -93  107  3
 -237 -251  1
 -214 -241  1
 -202  183  4
  161 -160  2
 -175  170  4
  -66   73  3
  118 -149  2
   60  204  0
 -223 -230  1
  146 -167  2
  126  193  0
 -137   74  3
  -73   77  3
  -86   59  3
 -213  124  4
 -194 -231  1
   73  176  0
  102  213  0
  277 -261  1
  148  207  0
 -226  214  4
  117 -155  2
 -198 -186  1
 -199 -167  1
  143  193  0
   73  175  0
 -103   54  3
 -210  152  4
  177 -123  2
  179 -157  2
 -229 -180  1
 -185 -243  1
 -114   65  3
 -211 -219  1
 -105   39  3
 -183 -214  1
 -230 -198  1
 -172  209  4
  156 -144  2
 -213 -164  1
  116  265  0
 -179  181  4
 -188  183  4
 -190  217  4
 -131   36  3
  168 -161  2
  128  174  0
 -192  172  4
  -96   79  3
 -154 -208  1
  152 -124  2
 -167 -214  1
  103  193  0
   88  209  0
 -242 -205  1
 -183 -213  1
  135 -149  2
  -79   17  3
  136  221  0
 -189 -182  1
  178 -176  2
 -180 -202  1
 -210  149  4
 -171 -189  1
 -204  172  4
  107  198  0
 -195 -221  1
   67  183  0
   99  191  0
  109 -187  2
   64  236  0
 -205  223  4
   98  204  0
 -188  171  4
 -144 -221  1
 -200 -169  1
 -222  190  4
 -206  154  4
  -71   68  3
  138  208  0
 -215  221  4
   80  231  0
 -113   74  3
 -100   55  3
 -195  205  4
  113  217  0
  113  215  0
  146 -176  2
 -163   64  3
 -160  211  4
 -243  200  4
 -186  203  4
  123  180  0
 -219 -195  1
   72  224  0
 -214 -227  1
 -239  186  4
 -201 -184  1
  178 -145  2
  189 -139  2
 -172 -173  1
  115  171  0
 -196  201  4
  100 -165  2
 -201 -187  1
 -232 -186  1
  175 -148  2
 -232 -216  1
 -130   43  3
 -189 -179  1
 -100   57  3
 -213 -172  1
  -81   83  3
  160 -160  2
 -113   64  3
  140 -154  2
  130 -132  2
  122  168  0
  142  207  0
 -211  210  4
  190 -154  2
 -190  236  4
 -235  180  4
 -199  210  4
  165 -119  2
 -196  220  4
  -93   80  3
 -202  177  4
  112 -153  2
   99 -155  2
   72  204  0
 -227  199  4
  107  205  0
  -80   61  3
 -106  106  3
  -60   31  3
  142  204  0
 -157 -200  1
 -111   62  3
  148 -192  2
 -193 -169  1
  182 -128  2
 -230 -173  1
  141 -192  2
  152 -137  2
 -199 -192  1
  103  170  0
  184 -144  2
  163 -164  2
  174 -127  2
 -119   75  3
 -120  210  4
 -106   61  3
 -186 -205  1
  134 -169  2
  123  194  0
  120 -113  2
 -222  207  4
  168 -114  2
  -99   68  3
 -219  198  4
   87  195  0
 -202 -246  1
  -86   66  3
 -246 -172  1
   93  247  0
   83 -170  2
 -204  205  4
  109  194  0
 -223 -219  1
  207 -175  2
   30  187  0
 -219 -205  1
 -174 -221  1
 -181  209  4
   95  212  0
   92  186  0
 -240 -194  1
   64  172  0
  139 -105  2
 -210  175  4
  -79  140  3
  -75   37  3
  135 -156  2
 -189 -216  1
 -208  189  4
  -87   58  3
  -79 -217  1
  180 -166  2
 -220 -177  1
 -206  217  4
  126 -141  2
  127 -147  2
 -197  225  4
  113  188  0
  134 -157  2
  106  187  0
 -169 -151  2
  -94   19  3
  -98   57  3
  -78   88  3
  107 -155  2
 -240 -183  1
 -207 -238  1
   79  125  0
 -113  116  3
  -64   75  3
 -234 -206  1
  144 -154  2
 -191  212  4
 -127   46  3
 -101   59  3
  210 -143  2
 -229  168  4
 -131 -219  1
 -178  161  4
 -185  213  4
   96  175  0
   12  210  0
  -62   66  3
  174 -154  2
 -160  188  4
 -200  188  4
 -188  202  4
 -172  181  4
  180 -173  2
 -188  208  4
  150 -161  2
 -226  213  4
 -105   97  3
  170 -125  2
  100  205  0
  -68   91  3
  158 -166  2
 -134   70  3
   98  189  0
  110  186  0
 -184 -184  1
  148  239  0
   73  219  0
  123  221  0
  154 -122  2
  182 -215  2
  168 -176  2
  109  266  0
  103  210  0
 -166  203  4
   52  171  0
 -233 -186  1
  161  193  0
 -203 -193  1
  124 -167  2
 -199 -182  1
  165 -116  2
 -227 -225  1
 -144 -253  1
  134 -198  2
 -210 -203  1
 -119   77  3
 -196 -159  1
   76  249  0
  107  214  0
  121 -159  2
 -188  209  4
  -82   32  3
 -123   89  3
 -219  235  4
 -221  177  4
  164 -193  2
  150 -176  2
 -191 -206  1
 -240 -168  1
 -201 -193  1
  113 -109  2
 -116   59  3
  152 -154  2
   81  205  0
 -194  230  4
 -185 -239  1
  100  170  0
  124 -125  2
  141 -158  2
  151  170  0
 -207 -202  1
 -102   41  3
  184 -126  2
 -218 -177  1
  141 -192  2
  140 -153  2
  -99   17  3
 -199  181  4
   92  204  0
 -249  219  4
  173 -127  2
 -223  225  4
  131  197  0
 -182 -213  1
 -195  198  4
 -178 -235  1
 -124   49  3
  149  172  0
 -200  169  4
   88  183  0
  150 -148  2
 -187 -214  1
  106  179  0
  -55   73  3
 -165  169  4
 -164  231  4
  124 -116  2
  113  217  0
   88  121  0
 -193 -201  1
 -121  109  3
 -133  146  3
  -81   87  3
  123  211  0
   75  237  0
 -106   52  3
  161  236  0
  174 -178  2
 -233 -166  1
 -183  188  4
 -208 -204  1
 -201  212  4
   87  197  0
  122 -141  2
   93 -201  2
 -167 -186  1
   59  194  0
 -235 -214  1
   91  184  0
 -202 -198  1
  163 -114  2
 -199  213  4
  -70   65  3
  119  226  0
 -130   70  3
 -106   82  3
 -122   38  3
 -207 -181  1
 -220 -205  1
 -224  184  4
 -165   68  3
  189 -152  2
  121  216  0
  129 -175  2
  142  207  0
 -201  176  4
 -220 -147  1
  113  205  0
  144 -178  2
   71  208  0
  108 -174  2
  100 -185  2
  145 -128  2
 -180  163  4
  163 -179  2
 -191 -218  1
  119  216  0
  -78   65  3
  -74   76  3
 -232 -166  1
 -183  171  4
  112  168  0
  118  258  0
 -207 -197  1
 -109   70  3
  144 -113  2
 -210  150  4
 -187 -212  1
  150 -198  2
 -161   84  3
  141 -156  2
   82  200  0
  138 -170  2
   64  213  0
  125  202  0
 -190 -207  1
  188 -121  2
  159 -138  2
   91  221  0
 -182 -183  1
 -202  170  4
   92  230  0
   69  220  0
 -187 -221  1
 -212  217  4
  -44   83  3
 -100   29  3
 -239  207  4
 -185 -203  1
  148 -178  2
 -220  197  4
  123 -144  2
   97  208  0
 -161  170  4
 -233  221  4
  207 -143  2
 -218 -220  1
  154 -146  2
  119  199  0
 -181  209  4
 -177 -118  1
  -90   84  3
  128 -126  2
 -122   43  3
  -80   39  3
  168 -115  2
 -275  239  4
 -244 -179  1
 -123   57  3
 -129   58  3
 -140   68  3
 -172 -195  1
  165 -150  2
  141 -152  2
   92  218  0
  204 -198  2
  167 -142  2
 -196 -189  1
 -206 -176  1
 -233 -156  1
 -101   63  3
 -238  210  4
 -153 -256  1
  142 -215  2
 -162  185  4
  142 -158  2
   92  226  0
  163 -160  2
  -80   78  3
  124  218  0
 -205 -205  1
  135  160  0
 -151 -241  1
  144 -204  2
 -235 -185  1
  188 -175  2
  137  205  0
  171 -171  2
  136 -151  2
 -137   76  3
 -169  185  4
 -229 -188  1
  139 -139  2
  200 -121  2
  -67   68  3
 -200  170  4
  -62   53  3
 -237 -151  1
   87  190  0
 -214  159  4
   85  176  0
  117  195  0
  116 -161  2
  146 -147  2
  -76   77  3
 -145 -233  1
  -87  110  3
  146 -132  2
 -167  203  4
  -87   68  3
  -81  105  3
  104  201  0
  116  241  0
  176 -166  2
 -140   92  3
   95  136  0
 -112   73  3
   96  162  0
 -243  195  4
  -81   21  3
 -226 -287  1
 -209 -205  1
 -180 -219  1
 -117   15  3
 -226 -219  1
 -207 -161  1
  130 -125  2
 -120   47  3
 -163  166  4
 -193 -159  1
  163 -151  2
  -80   82  3
 -128  105  3
   95  200  0
   85  193  0
  -83   82  3
  128 -169  2
  -75   82  3
   91  178  0
  183 -113  2
  159 -124  2
  171 -162  2
 -184  190  4
 -178 -175  1
  136  207  0
 -251 -176  1
  168 -137  2
 -183 -227  1
 -211 -196  1
  148 -178  2
 -119  125  3
 -154 -240  1
 -202 -231  1
  140 -154  2
 -211  161  4
 -196 -145  1
  -96   -9  3
 -163   44  3
  170 -160  2
  100  132  0
 -180 -226  1
  106  221  0
  135 -156  2
   65  190  0
   80  187  0
 -103   28  3
  127  183  0
  181 -151  2
 -169 -172  1
 -218 -223  1
  -65   96  3
   57  208  0
  101  225  0
 -134  127  3
 -206 -240  1
  189 -161  2
 -215 -199  1
  -92   94  3
  105  228  0
  113 -155  0
  131 -183  2
 -184  179  4
 -219 -190  1
 -212  207  4
 -150   58  3
  158 -150  2
 -187  195  4
 -217  185  4
  157 -154  2
  122  217  0
 -239 -237  1
 -149   60  3
 -121   95  3
   91  183  0
 -228 -266  1
  104  175  0
 -242  233  4
  107  214  0
 -206  179  4
   73  215  0
 -113   73  3
 -156  207  4
   94  211  0
  139  211  0
 -181 -209  1
  158 -142  2
  144 -108  2
  -93   63  3
 -229 -186  1
  109 -119  2
  -71  121  3
 -236  189  4
 -223  152  4
 -113   18  3
 -187  190  4
  -81   85  3
 -146 -203  1
  105  -93  2
 -239 -221  1
  -88   54  3
 -103  106  3
 -203 -230  1
  144 -106  2
  152 -133  2
 -225 -201  1
  168 -187  2
   98  211  0
 -214  178  4
 -179 -188  1
 -157 -213  1
  130  212  0
  141 -183  2
 -199 -189  1
 -215  202  4
  143 -160  2
  113  250  0
 -191 -176  1
 -169 -195  1
  -84   70  3
 -224  176  4
  126 -119  2
 -253  132  4
  107  198  0
  156 -164  2
 -210 -180  1
  -72   83  3
  170 -154  2
  110  164  0
  106  216  0
 -125   50  3
  184 -114  2
   92  196  0
 -168 -204  1
  -77   83  3
 -162  161  4
 -241 -229  1
  -82   56  3
 -199 -204  1
  156 -133  2
  -93   69  3
 -124  114  3
  174 -145  2
  190 -184  2
  210 -147  2
 -106   50  3
  143  209  0
 -229 -219  1
  123  160  0
 -202 -205  1
  149 -130  2
  151 -144  2
 -174  239  4
  -65   67  3
  100  201  0
 -198 -185  1
 -188  175  4
  258   76  3
 -183 -236  1
 -192 -212  1
 -137   85  3
  120 -139  2
  173 -177  2
   78  221  0
 -153   96  3
 -181 -176  1
 -113  174  3
 -223  196  4
  162 -159  2
  116  240  0
 -222 -216  1
  108  236  0
 -215 -188  1
 -224 -206  1
 -247 -176  1
 -213 -127  1
  123 -119  2
 -229  204  4
 -102   47  3
  141  191  0
 -197  217  4
  100  224  0
   78  210  0
  108  214  0
 -175 -169  1
 -112  148  3
 -125   49  3
 -181 -185  1
 -182  236  4
  -73   90  3
 -204  196  4
 -190  163  4
   77  171  0
 -209  142  4
  134  202  0
  139  220  0
 -167  201  4
  145 -118  2
  162 -141  2
 -151   43  3
 -184  201  4
 -146   80  3
  163 -111  2
 -188 -217  1
 -109   42  3
  148 -157  2
  104  179  0
 -116   66  3
 -177  207  4
 -217 -197  1
   92  194  0
 -199 -224  1
  -88   34  3
 -159 -239  1
 -133  192  4
   92  230  0
  145 -156  2
  201  190  4
  -94   62  3
 -232 -218  1
   75  153  0
 -250 -185  1
 -205  214  4
  114  189  0
   78  190  0
 -101   49  3
  113  167  0
  -59   99  3
  135 -172  2
 -100   89  3
   97  206  0
  119  210  0
   76  180  0
 -143  192  4
  176 -141  2
 -191 -218  1
 -188 -186  1
 -192 -144  1
  -68   63  3
   93  174  0
  177 -156  2
  -87  110  3
 -181 -211  1
   84  167  0
 -213  184  4
 -182 -200  1
  105  160  0
   94  210  0
  115  199  0
 -206 -182  1
  -68  106  3
  131 -129  2
 -143 -183  1
  -81   78  3
  132 -119  2
  107  161  0
  -94   70  3
 -221 -273  1
  -65   50  3
 -220  160  4
  -27   37  3
 -211  207  4
  107  161  0
 -107   21  3
  151 -120  2
  138  191  0
 -202  185  4
 -193 -163  1
   91  151  0
 -151 -232  1
 -158 -191  1
   98  180  0
  157 -171  2
  149  226  0
 -145   80  3
  -48   54  3
  196 -169  2
  -64   78  3
  125 -134  2
 -227  243  4
 -199 -176  1
 -178  163  4
  -91   90  3
  123 -150  2
 -177  202  4
  -69   13  3
 -174 -234  1
 -183  192  4
  -92   64  3
 -116   56  3
  147 -123  2
  157 -131  2
 -231 -211  1
 -169  169  4
  -74   98  3
  112  220  0
 -205  225  4
   47  153  0
 -247  212  4
  123 -153  2
  123  197  0
  127  153  0
   97  166  0
 -186  216  4
  -91   36  3
 -125   36  3
 -120  108  3
  -82   55  3
 -139  100  3
  135  259  0
  101  159  0
  158 -156  2
 -190 -212  1
 -219  222  4
 -223  172  4
  107  185  0
 -205  182  4
 -158  184  4
 -170  222  4
  111  182  0
   97  150  0
   74  206  0
 -231 -186  1
  130 -140  2
  151 -129  2
  120  212  0
  109  199  0
 -176 -238  1
 -100   36  3
  158 -128  2
 -198 -191  1
 -191  211  4
   76  245  0
 -155  178  4
  123 -160  2
  -89   64  3
  113  170  0
  158 -115  2
  136  -77  2
 -213  182  4
 -152  197  4
  150  208  0
  103  192  0
 -110   76  3
  159  211  0
 -219 -212  1
 -215  170  4
   91  223  0
  -87   95  3
 -254  230  4
  -88   97  3
 -214  183  4
  -95  132  3
 -207  176  4
  164 -158  2
 -228  248  4
  117  176  0
 -210 -184  1
 -209  240  4
   93  235  0
  -79   49  3
  175 -171  2
  141 -136  2
  133  204  0
 -165  203  4
  -91  101  3
 -181 -208  1
 -209 -195  1
  135 -162  2
  166 -160  2
   92  174  0
  123 -193  2
  -99   77  3
 -181  169  4
 -198 -155  1
  120  235  0
  -55   72  3
 -212  196  4
   95  221  0
   77  208  0
  143  202  0
 -139   50  3
 -191  229  4
 -183 -180  1
 -186 -219  1
  136 -121  2
  158 -150  2
  139  199  0
 -181 -184  1
  152 -131  2
  165 -140  2
 -116   21  3
 -167 -237  1
  120  207  0
 -218  187  4
 -224 -205  1
 -220 -197  1
  -92   60  3
 -215  186  4
  -54  105  3
   42  201  0
 -221 -245  1
 -186 -186  1
  -80   68  3
 -100   74  3
  179 -136  2
 -169 -197  1
 -148 -226  1
  164 -136  2
  150 -160  2
 -197  197  4
 -186 -242  1
   77  195  0
 -182  199  4
 -181 -197  1
 -194  183  4
  -62   61  3
  -66   59  3
  104  225  0
 -208 -208  1
 -199 -151  1
   89 -128  2
  146 -148  2
 -114   71  3
 -232  202  4
 -237 -196  1
 -115  113  3
 -185  212  4
  136 -173  2
 -199  176  4
  -88   80  3
 -216 -232  1
  143  229  0
  156 -137  2
 -255  167  4
 -160 -249  1
 -212  213  4
 -211 -191  1
 -206  175  4
  161 -130  2
  119  173  0
  120  135  0
 -196 -172  1
 -154  208  4
   95  220  0
 -261 -186  1
   98 -190  2
  143 -132  2
  160 -118  2
 -109   82  3
  126  196  0
 -205 -171  1
 -223 -193  1
  105  168  0
  164 -138  2
 -191 -174  1
  103  156  0
 -271  224  4
 -201 -183  1
 -234 -245  1
  121 -172  2
  106 -139  2
  129  266  0
 -188 -210  1
  171 -135  2
   99  231  0
  145  164  0
 -190 -177  1
 -201  182  4
 -138   57  3
 -187 -173  1
 -195  232  4
  151 -165  2
  141 -129  2
   66  199  0
   74  205  0
  162 -143  2
  102  182  0
 -226  183  4
 -224 -189  1
 -169  206  4
 -150  151  4
  188 -143  2
 -226  177  4
  -91   73  3
  120  223  0
  186 -160  2
 -201  168  4
  172 -142  2
  131 -146  2
  189 -154  2
 -190 -190  1
 -201 -229  1
  108  243  0
